OBJECTID,SUBCOMMUNITY,SHAPESTArea,SHAPESTLength
1,South Boulder,108970152.183333,59637.0500436825
2,Central Boulder - University Hill,40265662.9487626,38319.8186364164
3,North Boulder,80275558.5253424,42908.1221348754
4,Gunbarrel,124427492.537224,66869.438871748
5,East Boulder,70152723.0956719,47756.0811874851
6,Crossroads,32982998.5361821,25181.829228541
7,Palo Park,52109176.0754408,41920.2890979313
8,Southeast Boulder,109440084.109403,74954.0676618182
9,Central Boulder,78398574.7997845,47104.1138137404
10,Colorado University,43503644.8278667,31994.2055396338
